CIF,TRANSACTIONCODE,CUSTOMERTYPE,BIRTHDATE
1,D109301,0,1369/09/24
1,D109301,0,1383/09/24
1,0,0,1365/10/10
1,0,0,1369/09/24
100008085,0,0,1395/05/31
100008523,0,0,1369/06/05
100008531,0,0,1369/06/05
100009026,0,0,1369/06/06
10001204,C107012,0,1353/03/12
100012590,0,0,1371/08/01
10001295,C107012,0,1346/01/14
100014588,0,0,1369/07/22
100020114,0,0,1369/08/29
100020197,0,0,1369/08/29
100020270,0,0,1402/08/30
100021062,0,0,1369/09/06
1000256,0,0,1358/03/20
100027051,0,0,1369/10/11
100028059,0,0,1385/10/16
100028240,0,0,1369/06/18
100028257,0,0,1369/06/18
100028646,0,0,1382/10/20
100030055,0,0,1372/07/07
100032648,0,0,1402/11/08
100032705,0,0,1372/11/08
100033554,0,0,1392/01/16
100035088,0,0,1402/09/21
100035195,D109301,0,1369/11/24
100035245,0,0,1402/05/15
100035302,0,0,1369/11/25
100035567,0,0,1402/03/28
100035575,0,0,1402/11/23
100036102,0,0,1392/01/16
100036599,0,0,1402/12/01
100036607,D109301,0,1374/12/02
100040138,0,0,1362/01/29
100040567,0,0,1369/01/29
100058643,0,0,1359/04/09
100063205,0,0,1403/05/15
1000694,D109301,0,1365/11/12
10007797,D109301,0,1355/06/26
10008068,C107012,0,1335/11/12
10008860,C107012,0,1330/10/05
10009041,C107012,0,1366/07/06
10009165,C107012,0,1344/02/09
10009777,D109301,0,1353/05/25
10010024,0,0,1375/03/16
10010106,C107012,0,1363/01/28
10010692,D109301,0,1349/05/14
10010809,D109301,0,1379/11/22
10010957,C107012,0,1342/06/13
10011047,D109301,0,1329/01/01
10012250,C107012,0,1336/11/15
10012250,D109301,0,1336/11/15
10012292,C107012,0,1337/02/25
10012318,D109301,0,1329/06/03
10012326,D109301,0,1363/05/21
10012979,D109301,0,1371/06/08
10013969,C107012,0,1365/04/26
10014058,C107012,0,1336/06/01
10014611,D109301,0,1364/03/24
10014801,D109301,0,1366/06/31
10015477,C107012,0,1340/02/02
10015477,D109301,0,1340/02/02
10015543,D109301,0,1340/06/22
10015709,D109301,0,1363/07/01
10016061,D109301,0,1327/01/01
10016574,C107012,0,1343/01/07
10017135,D109301,0,1342/02/07
10017200,D109301,0,1355/12/01
10017259,D109301,0,1364/10/10
10017341,D109301,0,1364/11/01
10017366,D109301,0,1326/11/01
10017457,D109301,0,1334/01/03
100180,D106601,0,1366/01/25
100180,D109301,0,1366/01/25
10018133,D109301,0,1369/04/23
10018174,D109301,0,1348/03/26
10018489,D109301,0,1370/10/30
10018604,D109301,0,1362/01/30
10018703,D109301,0,1357/04/13
10018901,C107012,0,1341/01/28
10018968,D109301,0,1339/07/01
10019156,D109301,0,1320/09/29
10019206,C107012,0,1348/06/12
10019263,D109301,0,1387/07/22
10019453,D109301,0,1341/01/12
10019560,D109301,0,1364/04/23
10019602,D109301,0,1358/10/10
10023232,D109301,0,1367/06/07
1002377,D109301,0,1364/11/12
10023828,D106601,0,1344/01/01
10023851,D109301,0,1369/04/12
10024149,D106601,0,1347/01/21
10024149,D109301,0,1347/01/21
10024156,C107012,0,1345/05/28
10024172,C107012,0,1342/08/11
10024222,D106601,0,1345/02/18
10024222,D109301,0,1345/02/18
10024305,D109301,0,1356/11/01
