CIF,CUSTOMERTYPE,BIRTHDATE,POSTALCODE
3855,2,5/20/1996,1588615418
7005,2,10/1/2006,1981978668
8979,2,6/10/1995,1514843737
9134,2,2/20/2008,1474754477
9985,2,5/8/2010,1481874193
10660,2,1/14/1984,1516871198
11346,2,3/9/2010,1998636754
12419,2,4/11/2009,1589573131
19844,2,11/5/1990,7617795699
23960,2,6/11/2008,1314715611
26765,2,8/26/1993,1946743573
28134,2,8/15/2005,1665973561
35139,2,3/19/1998,1231231231
40345,2,5/8/1979,5381913153
63396,2,11/6/1977,1389913657
63677,2,2/21/2005,1918955311
71654,2,2/5/2008,1451764381
73254,2,3/9/2011,1918955311
75556,2,3/12/1980,3318584131
106526,2,3/19/1991,84815161
128603,2,5/10/2011,1933844611
135889,2,12/13/1998,1653996456
203471,2,9/25/2011,1511767611
234880,2,2/15/2012,1468465884
237347,2,3/3/2003,1511719411
238196,2,7/26/2000,1135616516
253989,2,3/28/2000,1135616515
376145,2,6/19/2007,1913943653
409268,2,5/15/1979,1576855411
411983,2,7/25/2009,1577733937
425538,2,8/25/1994,1435916913
546184,2,1/9/1995,1135719716
934067,2,3/12/1980,5156938485
1039916,2,3/15/2000,1633753414
1229608,2,4/14/2008,1514837113
1277318,2,3/6/1999,1578773314
1481704,2,10/6/2007,1998714437
3277134,2,5/24/2005,1574844514
3526670,2,3/2/2005,1587745713
3599883,2,6/9/2012,1966835694
4054730,2,8/24/2000,1135719716
4103339,2,2/21/2005,1511757415
4431979,2,1/29/2000,1513833815
4593786,2,3/12/1980,8133796411
4712667,2,8/4/1997,4616159138
4742060,2,8/11/1996,1431644441
4790648,2,3/12/2002,6583117867
4793246,2,9/13/1988,1435883863
4800553,2,2/20/1984,1655877493
4834297,2,8/29/2004,1967733827
4835187,2,5/4/2010,1111111111
4848487,2,6/27/2012,1967933574
4866422,2,1/11/2012,7941745443
5004635,2,3/15/1992,1457786433
5083415,2,3/3/1987,1457855153
5085279,2,12/4/1963,1389716561
5127873,2,9/28/1964,1559943611
5128434,2,3/8/1978,1559943611
5281654,2,11/25/2003,1466945513
5300868,2,7/9/2005,1586853714
5317359,2,3/12/1980,1111111111
5332226,2,3/14/1985,1598663118
5363619,2,3/12/1980,9137795676
5380951,2,4/18/2012,1968815553
5412119,2,3/12/1980,4163917543
5415690,2,11/9/2009,1966834944
5420294,2,6/20/1973,3198685375
5435623,2,12/15/2004,1517875913
5444906,2,10/10/2012,1991816373
5445556,2,1/2/2013,1966835694
5499785,2,3/14/2012,1541231151
5515408,2,3/12/1980,3715653187
5591649,2,12/6/2006,1138964161
5598701,2,10/7/2003,1463735763
5729892,2,2/8/1993,8816763187
5746664,2,3/1/2011,1511918656
5756556,2,10/30/2011,3318749197
5800099,2,1/25/1962,1978637553
5878657,2,3/15/1960,1234567899
5883285,2,9/22/1996,1967933767
5944087,2,6/19/1985,1318915513
6021760,2,5/10/1987,4717143576
6099576,2,3/14/2013,6155819711
6187991,2,2/24/2002,3514753741
6213508,2,10/2/1976,4713814374
6248876,2,3/12/1980,8916713647
6269401,2,4/27/1980,1998813764
6290910,2,2/28/2012,1418914375
6296982,2,7/29/2001,1175818711
6476626,2,2/6/2011,1966834944
6847396,2,4/28/1998,1435866161
6864235,2,1/2/2000,1588635317
6950646,2,6/10/2012,1912380204
7028327,2,5/5/1966,1399613511
8431405,2,6/1/1969,1586973611
8508764,2,8/3/2002,1994846741
9724659,2,2/14/2011,1415814167
9774563,2,3/7/1989,1418834457
9866302,2,7/15/2012,1585653114
9953647,2,11/17/2012,1546813311
9963901,2,5/27/1980,1376676868
10019263,2,10/13/2008,1599953913
10138865,2,7/27/2004,1377637391
10997138,2,8/11/2009,1497713115
11000346,2,7/9/2002,1939834511
11042652,2,4/30/2008,1511738614
